Name,Description,Excerpt,Tree species,Tour,Sequence
Japanese yews (Taxus cuspidata),Returning to the main path and faci...,"Returning to the main path and facing the dual highway, you have on your right a cluster of low evergreens: two <i style=""color: rgb(156, 39, 176);"">Japanese yews</i>, <b><i style=""color: rgb(156, 39, 176);"">Taxus cuspidata</i></b>, with a taller, flat-topped pine behind them. This is a Japanese umbrella pine or Tanyosho pine, Pinus densiflora umbraculifera. Compare the brightness of this pine's foliage with the somber cast of the white pines at the entrance. The flat top of the Tanyosho is formed by the nearly uniform height of its upright branches. In the white pine, horizontal branches may give a flat-topped effect. The strong-growing yew needs heading back where it is crowding the choicer Tanyosho pine.",Taxus cuspidata,TOUR 1,11
Tanyosho pine (Pinus densiflora umbraculifera),Returning to the main path and faci...,"Returning to the main path and facing the dual highway, you have on your right a cluster of low evergreens: two Japanese yews, Taxus cuspidata, with a taller, flat-topped pine behind them. This is a <i style=""color: rgb(156, 39, 176);"">Japanese umbrella pine</i> or <i style=""color: rgb(156, 39, 176);"">Tanyosho pine</i>, <b><i style=""color: rgb(156, 39, 176);"">Pinus densiflora umbraculifera</i></b>. Compare the brightness of this pine's foliage with the somber cast of the white pines at the entrance. The flat top of the Tanyosho is formed by the nearly uniform height of its upright branches. In the white pine, horizontal branches may give a flat-topped effect. The strong-growing yew needs heading back where it is crowding the choicer <i style=""color: rgb(156, 39, 176);"">Tanyosho pine</i>.",Pinus densiflora umbraculifera,TOUR 1,12
White ash (Fraxinus americana),Cross the highway at the traffic li...,"Cross the highway at the traffic light and head into the Park. On the far side, all by itself on your right is a large <i style=""color: rgb(156, 39, 176);"">white ash</i>, <b><i style=""color: rgb(156, 39, 176);"">Fraxinus americana</i></b>. Ashes are of separate sexes. If you see the winged nutlets on an ash you are sure that it is a pistillate or female tree. This specimen is pistillate. Even when the fruits have disappeared, you can see thousands of stiff strings on which they grew. Sportsmen should view the ash special affection. Its wood is nearly as strong as that hickory but much lighter in weight. It is extensively used for the frames of rowboats, canoes, and tennis racquets, and for oars, paddles, and baseball bats.",Fraxinus americana,TOUR 1,13
Scholar trees (Styphnolobium japonicum),"Farther on, just before the path br...","Farther on, just before the path branches to under Cleft Ridge Span, you will see a group of about ten Japanese pagoda or <i style=""color: rgb(156, 39, 176);"">scholar trees</i>, Sophora japonica, on the bank at your right. These are members of the pea family. The smaller trees are presumably seedlings of the older specimens. When covered with a froth of greenish white flowers in August, a season when little else is in bloom, sophoras are the Park's most conspicuous ornament.",Styphnolobium japonicum,TOUR 1,14
Boxwoods (Buxus sempervirens),Follow the path to the refreshment ...,"Follow the path to the refreshment stand. Behind it on your left are three <i style=""color: rgb(156, 39, 176);"">boxwoods</i>, <b><i style=""color: rgb(156, 39, 176);"">Buxus sempervirens</i></b>, and a weeping mulberry, Morus alba pendula. The pendulous top of the mulberry, a freak or sport, would sprawl on the ground if allowed to grow normally. In order to create a fountain effect, the drooping variety is grafted on understock of normal upright mulberry. Weeping cherries and the Camperdown elm which we will see presently are produced by the same method.",Buxus sempervirens,TOUR 1,15
Weeping mulberry (Morus alba),Follow the path to the refreshment ...,"Follow the path to the refreshment stand. Behind it on your left are three boxwoods, Buxus sempervirens, and a <i style=""color: rgb(156, 39, 176);"">weeping mulberry</i>, <b><i style=""color: rgb(156, 39, 176);"">Morus alba</i></b> pendula. The pendulous top of the mulberry, a freak or sport, would sprawl on the ground if allowed to grow normally. In order to create a fountain effect, the drooping variety is grafted on understock of normal upright mulberry. Weeping cherries and the Camperdown elm which we will see presently are produced by the same method.",Morus alba,TOUR 1,16
English yews (Taxus baccata),As you walk back to Cleft Ridge Spa...,"As you walk back to Cleft Ridge Span, notice the <i style=""color: rgb(156, 39, 176);"">English yews</i>, <b><i style=""color: rgb(156, 39, 176);"">Taxus baccata</i></b>, on the right-hand bank. Their smooth reddish bark is distinctive.",Taxus baccata,TOUR 1,17
Himalayan pine (Pinus wallichiana),Walk through the arch....,"Walk through the arch. As you come out, look up to your left into the long, hanging needles of a <i style=""color: rgb(156, 39, 176);"">Himalayan pine</i>, <b><i style=""color: rgb(156, 39, 176);"">Pinus wallichiana</i></b> (syn. P. griffithii). This is a rare pine, one of the finest, and worth a moment's close study. Its needles are in bundles of five, indicating that it belongs to the white pine group. There can be no confusion with our native white pine, Pinus strobus, which has stiff, short needles that reveal the tiered outline of the horizontal branches. In contrast, the branch structure of the <i style=""color: rgb(156, 39, 176);"">Himalayan pine</i> is obscured by a veil of soft, drooping needles. It is strange that this pine, bred in the clean air of the Himalayas, can thrive in the city's contaminated atmosphere. Our native white pine barely survives in the city. The sickly specimen on the bank at your right is a striking contrast to the flourishing Himalayan.
Because of the steepness of the bank and lack of soil-holding shrubs, earth had washed away and exposed the roots of the Himalayan pine to a degree that threatened its stability. Stakes were driven into the bank in an effort to prevent further erosion. This has been only partially successful. A barrier planting of thorny shrubs is needed at the top of the bank to close off the damaging short cut down the slope. The roots need a dressing of topsoil, a mulch of wood chips, and a prickly cover -- perhaps a pegged-down pyracantha -- to prevent trampling. In addition, the straggly yew which is bruising the pine's lower branches should be drastically cut back or removed. This Himalayan pine, the largest specimen on Long Island, is worth making every effort to preserve.",Pinus wallichiana,TOUR 1,18
Camperdown elm (Ulmus glabra 'camperdownii'),"On your right, the widespread tree ...","On your right, the widespread tree surrounded by a fence is the famous <i style=""color: rgb(156, 39, 176);"">Camperdown elm</i>. This is a treasure of the highest order, quite surely the most distinguished tree in the city and possibly in the state. It is a prostrate form of Scotch elm, Ulmus glabra, which has been grafted on a short trunk of normal Scotch elm. Technically this is a weeping tree but unlike the rather flimsy mulberry previously noted, the elm develops limbs that ascend, twist, and curve back on themselves to make a branch pattern of the utmost force, and intricacy.
This specimen is a vegetative descendent of a Scotch elm seedling that failed to develop a normal trunk but crept along the ground. It originated at Camperdown House, the estate of the Earl of Camperdown, near Dundee, Scotland. All Camperdown elms trace back to this one plant which was introduced to cultivation in 1850. Our tree must have been one of the first to be grafted since it is estimated to be over one hundred years old.
On one of the walking tours conducted by the Friends of Prospect Park, it was discovered that the Camperdown elm was gravely threatened by decay resulting from years of neglect and faulty pruning. The main horizontal limb on the Boat House side was a mere shell, hollow to the base, and further weakened by a great untreated wound. The Friends of Prospect Park, unwilling to let the cherished tree die for lack of care, called in the Bartlett Tree Company for diagnosis and estimates, then launched an appeal for funds. People who care deeply about the Park's trees welcomed the opportunity of taking an active part in preserving them. Through voluntary contributions, the Camperdown Fund in its first year was able to treat its namesake and three other notable trees as well.

All elms are susceptible to Dutch elm disease though in varying degrees. The chief protection for healthy elms is to keep them in thriving condition, clear of dead branches, and sprayed against beetles. Even more important is the practise of strict sanitation, which requires the removal and burning of every infected tree as soon as the disease is diagnosed. This is the only way to destroy the new crop of beetles which would otherwise emerge in early spring to carry the deadly fungus to another elm. A large elm can serve as breeding ground for three million bark beetles. It takes only one to kill a tree.
Infected elms left standing until their beetles emerge in early May are a threat to the life of every elm within a two-mile radius -- the Camperdown elm included. However, if the Camperdown had been abandoned to decay, it was quite certainly doomed. Reinforced, pruned, filled, and fed, it has a sporting chance of giving pleasure to future generations of Park visitors. Those who know and love the tree believe that the investment for professional care is a gamble worth the taking.
On the hill beyond the Camperdown elm, in the direction of the Boat House, is a large sophora of imposing form. Usually a high-branched tree, this one has stout horizontal branches thrusting out near the base.",Ulmus glabra 'Camperdownii',TOUR 1,19
Red maple (Acer rubrum),Walk towards the Boat House to the ...,"Walk towards the Boat House to the end of the grassy triangle, then turn towards the lake around lamp post M 120. Looking across the triangle with your back to the Boat House, you will see a tree with six trunks, a multiple-stemmed <i style=""color: rgb(156, 39, 176);"">red maple</i>, <b><i style=""color: rgb(156, 39, 176);"">Acer rubrum</i></b>. Ordinarily <i style=""color: rgb(156, 39, 176);"">red maple</i>s have only one trunk so this individual is quite uncommon.",Acer rubrum,TOUR 1,20
Hornbeam (Carpinus betulus),"As you walk towards the lake, you w...","As you walk towards the lake, you will find a three-trunked specimen of <i style=""color: rgb(156, 39, 176);"">European <i style=""color: rgb(156, 39, 176);"">hornbeam</i></i>, <b><i style=""color: rgb(156, 39, 176);"">Carpinus betulus</i></b>, on your right. The zebra-striped bark of this <i style=""color: rgb(156, 39, 176);"">hornbeam</i> always excites interest and admiration. In summer the tree is hung with chains of fruits made up of three-lobed bracts in pairs, each with a nutlet in its base.",Carpinus betulus,TOUR 1,21
European hornbeam (Carpinus betulus),This triangular area seems to speci...,"This triangular area seems to specialize in many-trunked trees. At the far end of the triangle, by lamp post M 122, is another <i style=""color: rgb(156, 39, 176);"">European hornbeam</i> with so many trunks that it resembles a tropical banyan. This tree, disfigured and endangered by dead limbs, cavities, and jagged stubs, has been pruned and fertilized by the Bartlett Tree Company through the Camperdown Fund.",Carpinus betulus,TOUR 1,22
European larch (Larix decidua),Cross Lullwater Bridge and pause at...,"Cross Lullwater Bridge and pause at the far end. On your left is a <i style=""color: rgb(156, 39, 176);"">European larch</i>, <b><i style=""color: rgb(156, 39, 176);"">Larix decidua</i></b>. Like the bald cypress, this is one of the very few ""evergreens"" that loses its needles in winter. The tree is most attractive in spring when its budding needles resemble pale green chenille. The developing cones, bright crimson in color, look like tiny rosebuds set along the branches. The larch has a second brief season of beauty in autumn when the whole tree turns amber yellow before the needles are shed.

The larch's poor condition, dead branches, and meager growth plainly reflected the hardships of its situation on a bare slope of hard-packed clay. Contributions to the Camperdown Fund made it possible to prune and feed the larch. Soil texture would be improved by a planting of prickly shrubs such as blackberries to prevent further compaction by foot traffic, and by a mulch of humus-forming material.",Larix decidua,TOUR 1,23
Red maple (Acer rubrum),To the right of the bridge is a mor...,"To the right of the bridge is a more normal <i style=""color: rgb(156, 39, 176);"">red maple</i>, this time with only one extra trunk. As it leans out from the bank, the arch of its branches repeats the curve of the bridge, while the foliage -- especially striking in its autumnal red -- is mirrored in the Lullwater. Because of the prominence of its situation, this tree will be the focal point of the view from the Boat House terrace when the long-promised restoration is actually accomplished. The maple was slated for surgery in 1967 to treat a dead crown and cavities in the trunk. However, the Bartlett expert advised waiting to see whether the tree suffers injury to its roots when the retaining wall is built and the lake dredged. Since work on the maple had to be postponed, the money allotted for its care was applied to the historic American elm on the border of the Nethermead. This elm is described in Tour II.",Acer rubrum,TOUR 1,24
Austrian pine (Pinus nigra),Walk a few feet beyond the bridge t...,"Walk a few feet beyond the bridge to a gap in the trees to your right, where you can get a fine view of an <i style=""color: rgb(156, 39, 176);"">Austrian pine</i>, <b><i style=""color: rgb(156, 39, 176);"">Pinus nigra</i></b>, standing alone on the far shore to the left of the Boat House. The boldly patterned bark, marked with conspicuous grayish plates, and dark furrows, shows up particularly well on this specimen.",Pinus nigra,TOUR 1,25
Camperdown elm (Ulmus glabra 'camperdownii'),Retracing your steps over the bridg...,"Retracing your steps over the bridge and passing the multiple-stemmed hornbeam on your right, pause for another view of the <i style=""color: rgb(156, 39, 176);"">Camperdown elm</i> from a distance.",Ulmus glabra 'Camperdownii',TOUR 1,26
Field maple (Acer campestre),Follow the path on the left of the ...,"Follow the path on the left of the triangle to the Boat House and walk in back of it. Just beyond it on the left is an English hedge or <i style=""color: rgb(156, 39, 176);"">field maple</i>, <b><i style=""color: rgb(156, 39, 176);"">Acer campestre</i></b>, with a bottle-shaped trunk that divides about six feet above ground into a cluster of trunks and then into branches. Unfortunately this specimen has deteriorated beyond hope of salvage. The <i style=""color: rgb(156, 39, 176);"">field maple</i> is a highly individual tree with neat small leaves and a compressed, gnarled trunk. Because of its uncommon interest, a young <i style=""color: rgb(156, 39, 176);"">field maple</i> should be planted in the neighborhood of the Boat House to take the place of the dying one.",Acer campestre,TOUR 1,27
Silver-leafed linden (Tilia tomentosa),Near the field maple and closer to ...,"Near the field maple and closer to the lake is a <i style=""color: rgb(156, 39, 176);"">silver-leafed linden</i>, <b><i style=""color: rgb(156, 39, 176);"">Tilia tomentosa</i></b>, which takes its name from the pale, feltlike undersurface of its leaves.",Tilia tomentosa,TOUR 1,28
Black haw (Viburnum prunifolium),Continue ahead to the point where t...,"Continue ahead to the point where the footpath to the men's comfort station branches from the main walk. In the angle of the paths is a <i style=""color: rgb(156, 39, 176);"">black haw</i>, <b><i style=""color: rgb(156, 39, 176);"">Viburnum prunifolium</i></b>, one of our handsomest native shrubs. It is variable in form and sometimes attains the stature of a small tree as this one does. It can be identified by the pattern of its bark, a mosaic of small scalelike flakes, very like the bark of a dogwood but in reduced scale. The foliage turns a glowing rose-wine color in autumn.

At the next fork, turn right at the drinking fountain and walk towards East Wood Arch. The banks on either side of the approach are protected by a simple fence, inconspicuous and effective. Trees and understory shrubs are flourishing and seeding themselves in the untrampled soil. The grove holds fallen leaves which, as they decay, return vital chemicals to the soil and renew its humus content. Notice especially the large beech on the crest of the rise to the right, near lamp post M 215. Its trunk is surrounded by a thicket of youngsters, either seedlings or sucker growth from the roots. Here the forest is renewing itself, as it can do only in congenial soil and in a spot protected from compaction.

As you walk under East Wood Arch, the view on the far side presents an unhappy contrast. With neither fence nor shrubs to protect the surface, the barren slopes are packed hard by unrestricted traffic, exposed to drying from sun and wind, and severely eroded. The effect of root injury to the magnificent trees in this area is painfully evident.",Viburnum prunifolium,TOUR 1,29
Black oak (Quercus velutina),"As you come up the hill, on your le...","As you come up the hill, on your left just before lamp post N 213, is a <i style=""color: rgb(156, 39, 176);"">black oak</i>, <b><i style=""color: rgb(156, 39, 176);"">Quercus velutina</i></b>. Dark rough bark and massive branches are quick guides to identification. The broad leaves end in sharp points, indicating membership in the red oak group. This oak is stag-headed, meaning that its dead crown and leafless upper limbs stand out like antlers against the sky. Prompt improvement of this disadvantaged site, with a fence, a thick planting of shrubs, mulching, and fertilizer, plus pruning of the tree, would possibly save the superb oak from destruction. It would be foresighted, however, to plant a young specimen in the vicinity for future replacement.",Quercus velutina,TOUR 1,30
Tulip trees (Liriodendron tulipifera),"On the left, the next big tree beyo...","On the left, the next big tree beyond the black oak is a <i style=""color: rgb(156, 39, 176);"">tulip tree</i>, <b><i style=""color: rgb(156, 39, 176);"">Liriodendron tulipifera</i></b>, with another to the right in the angle of the path. <i style=""color: rgb(156, 39, 176);"">Tulip trees</i> can be recognized by their squared-off leaf tips, their pale green and orange tuliplike flowers in early summer, and the tawny conelike fruits that often persist all winter. Like the black oak, the <i style=""color: rgb(156, 39, 176);"">tulip tree</i>s show the effects of hardship. Roots are exposed where soil has washed from the bare bank, and their thin bark has been damaged by thoughtless walkers.",Liriodendron tulipifera,TOUR 1,31
Cornus florida (Cornus florida),Just beyond the tulip trees are two...,"Just beyond the tulip trees are two <i style=""color: rgb(156, 39, 176);"">flowering dogwoods</i>, <b><i style=""color: rgb(156, 39, 176);""><i style=""color: rgb(156, 39, 176);"">Cornus florida</i></i></b>. The one to the left was unusually tall but the top has died as a result of drought, mechanical injury to the tender bark, and hard-packed soil. The still-unspoiled forest northeast of the Music Pagoda would be a sanctuary for dogwoods, as this untamed wilding grows best in undisturbed woodlands.",Cornus florida,TOUR 1,32
Willow oak (Quercus phellos),Go straight ahead until you come to...,"Go straight ahead until you come to a fork in the path. On your left, opposite lamp post N 210, are three <i style=""color: rgb(156, 39, 176);""><i style=""color: rgb(156, 39, 176);"">willow oak</i>s</i>, <b><i style=""color: rgb(156, 39, 176);"">Quercus phellos</i></b>. The largest is unusually tall. One of its branches hangs low over the path so that you can examine its foliage at close range. The leaves are so slender and their edges so smooth that they might easily be mistaken for willow leaves. If you find tassels of male flowers or acorns, you will know this for a true oak. Since it has the appeal of novelty as well as of beauty, the <i style=""color: rgb(156, 39, 176);"">willow oak</i> should be planted more frequently than it is.",Quercus phellos,TOUR 1,33
Red maple (Acer rubrum),Take the right fork of the path....,"Take the right fork of the path. About midpoint of the grassy triangle, on your left, is a <i style=""color: rgb(156, 39, 176);"">red maple</i>, this time a single-trunked specimen. The characteristic network of surface roots should help in identification. Behind the maple, near the other path, is a sweet gum, Liquidambar styraciflua, one of our finest native trees. The star-shaped leaves are cleanly cut and put on a superlative show of color in fall. The unmistakable spiny fruit balls can be seen on the ground or hanging from the outer branches.",Acer rubrum,TOUR 1,34
Sweet gum (Liquidambar styraciflua),Take the right fork of the path....,"Take the right fork of the path. About midpoint of the grassy triangle, on your left, is a red maple, this time a single-trunked specimen. The characteristic network of surface roots should help in identification. Behind the maple, near the other path, is a <i style=""color: rgb(156, 39, 176);"">sweet gum</i>, <b><i style=""color: rgb(156, 39, 176);"">Liquidambar styraciflua</i></b>, one of our finest native trees. The star-shaped leaves are cleanly cut and put on a superlative show of color in fall. The unmistakable spiny fruit balls can be seen on the ground or hanging from the outer branches.",Liquidambar styraciflua,TOUR 1,35
European hornbeam (Carpinus betulus),On the point of the triangle by lam...,"On the point of the triangle by lamp post N 208 is fantastically shaped <i style=""color: rgb(156, 39, 176);"">European hornbeam</i>. A three-foot stub of broken branch should have been cut flush with the trunk and sealed. Instead, the splintered wood was left exposed to invasion by fungus. Bright orange growths pushing through the bark show how the infection has spread into the main trunk. For lack of basic maintenance, this tree is doomed.",Carpinus betulus,TOUR 1,36
Hawthorn (Crataegus monogyna),"Across the walk on the left, behind...","Across the walk on the left, behind the fence, is a single-seeded English <i style=""color: rgb(156, 39, 176);"">hawthorn</i>, <b><i style=""color: rgb(156, 39, 176);"">Crataegus monogyna</i></b>. This is the flowering may of English hedgerows and ballads. The native rhododendrons, R. carolinianum, with their white or pale pink powderpuffs of bloom, make a pleasing complement to the <i style=""color: rgb(156, 39, 176);"">hawthorn</i>'s flowers.",Crataegus monogyna,TOUR 1,37
Cherry birch (Betula lenta),Behind the shrubs is a cherry birch...,"Behind the shrubs is a <i style=""color: rgb(156, 39, 176);"">cherry birch</i>, <b><i style=""color: rgb(156, 39, 176);"">Betula lenta</i></b>, a native tree too seldom seen in Prospect Park, especially in such large size. This birch may be recognized by its dark gray bark breaking into large, thick plates and by the brown catkins set upright on its branchlets.

A mountain of earth was bulldozed against the birch in June, 1967, cutting off air and water from its roots. Roots buried under even six inches of earth will suffocate, critically weakening a tree within a year and killing it in two. Grosser abuse will destroy it more rapidly. Shortly after the damage was done, the Park Department was notified of the threat to the birch and was urged to order immediate removal of the earth to prevent irreparable injury to the tree.",Betula lenta,TOUR 1,38
White oak (Quercus alba),"Turning back to the path, on the si...","Turning back to the path, on the side near the road is a large <i style=""color: rgb(156, 39, 176);"">white oak</i>. Can you remember its distinguishing marks? It was described early in the tour.

As you come out by the carrousel to Flatbush Avenue, you can turn left for a visit to historic Lefferts Homestead, walk across the street to the celebrated Brooklyn Botanic Garden, or turn right for the BMT. The subway entrance is hidden behind some stores, directly across the street from the bakery whose sign serves as guidepost.

The Friends of Prospect Park sounds like a superb organization and a timely opportunity to advance conservation measures to protect the beauty of Prospect Park. We can all hope that the maintenance improvement will be made and made soon. 
Sharon F. Francis, Stag Assistant for Beautification to Mrs. Johnson; the White House, 1967

""To properly maintain, improve and develop our parks demands intelligence, time and love of the work. The best of talent alone pays, for ignorance causes more destruction in a short time than years of constant endeavor can repair.""

",Quercus alba,TOUR 1,39
TOUR 2,"TOUR II

Willink Gate at Flatbush...","TOUR II

Willink Gate at Flatbush and Ocean Avenues, reached by BMT Brighton Beach Express. Get off at Prospect Park Station and follow arrows to Botanic Garden exit.",,TOUR 2,40
Boxwoods (Buxus sempervirens),This is the entrance near the carou...,"This is the entrance near the carousel. As you face the Park, take the walk on the left side of the highway. Two <i style=""color: rgb(156, 39, 176);""><i style=""color: rgb(156, 39, 176);"">boxwood</i>s</i>, <b><i style=""color: rgb(156, 39, 176);"">Buxus sempervirens</i></b>, about eight feet high, are on the near side of the road. One is close to the stone column, the other nearer the path. This, the <i style=""color: rgb(156, 39, 176);"">common box</i>, is native to northern Europe. North Africa, and western Asia. In warm climates, <i style=""color: rgb(156, 39, 176);"">boxwood</i> attains tree proportions. Here in the North it is on the borderline of survival and is so badly damaged during severe winters that it seldom gets beyond shrub size. The foliage of <i style=""color: rgb(156, 39, 176);"">boxwood</i> gives off a distinct musky odor, pleasing to some noses, disagreeable to others. It is most noticeable in enclosed or sheltered areas such as the front lawn of Lefferts Homestead.",Buxus sempervirens,TOUR 2,41
Tanyosho pine (Pinus densiflora umbraculifera),"Looking across the highway, you wil...","Looking across the highway, you will see an uncommon small pine from Japan, the <i style=""color: rgb(156, 39, 176);"">Tanyosho pine</i>, <b><i style=""color: rgb(156, 39, 176);"">Pinus densiflora umbraculifera</i></b>. A variety of the red pine, this species is also called umbrella pine because of its broad rounded top.",Pinus densiflora umbraculifera,TOUR 2,42
Chinese elm (Ulmus parvifolia),Walk ahead about thirty yards to a ...,"Walk ahead about thirty yards to a point where a path leads off to the right. In the angle of the paths is a <i style=""color: rgb(156, 39, 176);"">Chinese elm</i>, <b><i style=""color: rgb(156, 39, 176);"">Ulmus parvifolia</i></b>, which leans to the left. It has very small leaves with a grayish cast. The <i style=""color: rgb(156, 39, 176);"">Chinese elm</i> is a variable tree, differing in the shape of its leaves and in its bark. However much they vary in appearance, <i style=""color: rgb(156, 39, 176);"">Chinese elm</i>s agree in having distinctively small leaves and in flowering in August and September, unlike the American elm and most other species which bloom in spring. The <i style=""color: rgb(156, 39, 176);"">Chinese elm</i> has been widely advertised as being immune to Dutch elm disease. According to pathologists, no elm is immune, but the <i style=""color: rgb(156, 39, 176);"">Chinese elm</i> is among the more resistant species. It is very late to leaf out in spring and may cause panic in new owners when it stands leafless and apparently dead while other trees are green.",Ulmus parvifolia,TOUR 2,43
